,Title,Price,Rating,Category,Availability
957,Ouran High School Host ...,29.87,3,Sequential Art,In stock
958,Origins (Alphas 0.5),28.99,1,Fantasy,In stock
959,One Second (Seven #7),52.94,2,Fantasy,In stock
960,On the Road (Duluoz ...,32.36,3,Default,In stock
961,Old Records Never Die: ...,55.66,2,Music,In stock
962,Off Sides (Off #1),39.45,5,New Adult,In stock
963,Of Mice and Men,47.11,2,Classics,In stock
964,Myriad (Prentor #1),58.75,4,Fantasy,In stock
965,My Perfect Mistake (Over ...,38.92,2,Romance,In stock
966,"Ms. Marvel, Vol. 1: ...",39.39,4,Sequential Art,In stock
967,Meditations,25.89,2,Philosophy,In stock
968,Matilda,28.34,1,Childrens,In stock
969,Lost Among the Living,27.7,4,Historical Fiction,In stock
970,Lord of the Flies,24.89,3,Add a comment,In stock
971,Listen to Me (Fusion ...,58.99,3,Romance,In stock
972,Kitchens of the Great ...,57.2,5,Fiction,In stock
973,Jane Eyre,38.43,5,Default,In stock
974,Imperfect Harmony,34.74,4,Romance,In stock
975,Icing (Aces Hockey #2),40.44,4,Sports and Games,In stock
976,"Hawkeye, Vol. 1: My ...",45.24,3,Sequential Art,In stock
977,Having the Barbarian's Baby ...,34.96,4,Science Fiction,In stock
978,"Giant Days, Vol. 1 ...",56.76,4,Sequential Art,In stock
979,"Fruits Basket, Vol. 1 ...",40.28,5,Sequential Art,In stock
980,Frankenstein,38.0,2,Default,In stock
981,Forever Rockers (The Rocker ...,28.8,3,Music,In stock
982,Fighting Fate (Fighting #6),39.24,3,Romance,In stock
983,Emma,32.93,2,Classics,In stock
984,"Eat, Pray, Love",51.32,3,Nonfiction,In stock
985,Deep Under (Walker Security ...,47.09,5,Romance,In stock
986,Choosing Our Religion: The ...,28.42,4,Religion,In stock
987,Charlie and the Chocolate ...,22.85,3,Childrens,In stock
988,Charity's Cross (Charles Towne ...,41.24,1,Romance,In stock
989,Bright Lines,39.07,5,Fiction,In stock
990,Bridget Jones's Diary (Bridget ...,29.82,1,Womens Fiction,In stock
991,Bounty (Colorado Mountain #7),37.26,4,Romance,In stock
992,Blood Defense (Samantha Brinkman ...,20.3,3,Mystery,In stock
993,"Bleach, Vol. 1: Strawberry ...",34.65,5,Sequential Art,In stock
994,Beyond Good and Evil,43.38,1,Philosophy,In stock
995,Alice in Wonderland (Alice's ...,55.53,1,Classics,In stock
996,"Ajin: Demi-Human, Volume 1 ...",57.06,4,Sequential Art,In stock
997,A Spy's Devotion (The ...,16.97,5,Historical Fiction,In stock
998,1st to Die (Women's ...,53.98,1,Mystery,In stock
999,"1,000 Places to See ...",26.08,5,Travel,In stock
